ID,Subject,Topic,Subtopic,Question,Option A,Option B,Option C,Option D,Correct Letter,Explanation,Active
1,RE,Number,,"What is the value of the digit 3 in 62,837?",3,30,300,3000,C,2,Yes
2,RE,Number,,Which number is the largest?,3.45,3.405,3.5,3.54,D,3,Yes
3,RE,Number,,Which number is the smallest?,0.6,0.06,0.16,0.006,D,3,Yes
4,RE,Number,,"Which symbol correctly compares 4,506 and 4,560?",>,<,=,≈,B,1,Yes
5,RE,Number,,"Round 18,475 to the nearest 1,000","18,000","19,000","18,500","17,000",A,0,Yes
6,RE,Number,,Estimate 49 + 31,70,80,90,60,B,1,Yes
7,RE,Number,,Estimate 19.9 × 9.5,100,200,300,150,B,1,Yes
8,RE,Number,,Write 31/100 as a decimal,0.31,3.1,0.031,31,A,0,Yes
9,RE,Number,,Which fraction is equivalent to ½?,¼,¾,⅖,²⁄₄,D,3,Yes
10,RE,Number,,What is 25% of 40?,5,10,15,20,B,1,Yes
11,RE,Number,,What is 10% of 70?,7,10,14,70,A,0,Yes
12,RE,Number,,Which number is a multiple of 7 between 30 and 40?,32,35,36,38,B,1,Yes
13,RE,Number,,What is √64?,6,7,8,9,C,2,Yes
14,RE,Number,,Which number is prime?,4,6,7,9,C,2,Yes
15,RE,Number,,Which number is even?,15,21,18,19,C,2,Yes
16,RE,Algebra,,What is 3x + 2x?,5x,6x,x<sup>2</sup>,5,A,0,Yes
17,RE,Algebra,,"If x = 4, what is 2x?",6,8,4,2,B,1,Yes
18,RE,Number,,What is −3 + 5?,2,−2,8,−8,A,0,Yes
19,RE,Number,,What is 4 − 7?,3,−3,11,−11,B,1,Yes
20,RE,Geometry,,What is the area of a rectangle with length 5 and width 3?,8,15,10,20,B,1,Yes
21,RE,Number,,"What is the value of the digit 6 in 64,091?",6,60,600,6000,D,3,Yes
22,RE,Number,,"What is the value of the digit 2 in 2,305?",2,20,200,2000,D,3,Yes
23,RE,Number,,Which number is the largest?,5.04,5.4,5.004,5.44,D,3,Yes
24,RE,Number,,Which number is the smallest?,0.5,0.05,0.15,0.005,D,3,Yes
25,RE,Number,,"Round 47,362 to the nearest 1,000","47,000","48,000","47,500","46,000",A,0,Yes
26,RE,Number,,"Round 83,649 to the nearest 1,000","83,000","84,000","83,500","82,000",B,1,Yes
27,RE,Number,,Estimate 203 + 498,600,700,800,500,B,1,Yes
28,RE,Number,,Estimate 51 × 18,500,900,1000,800,B,1,Yes
29,RE,Number,,Write 3/10 as a decimal,0.3,3,0.03,30,A,0,Yes
30,RE,Number,,Which fraction is equivalent to ¼?,½,¾,⅖,²⁄₈,D,3,Yes
31,RE,Number,,What is 50% of 60?,20,25,30,40,C,2,Yes
32,RE,Number,,What is 20% of 50?,5,10,15,20,B,1,Yes
33,RE,Number,,Which number is a multiple of 5?,32,45,33,37,B,1,Yes
34,RE,Number,,Which number is a factor of 18?,4,5,6,7,C,2,Yes
35,RE,Number,,What is √49?,5,6,7,8,C,2,Yes
36,RE,Number,,What is 5<sup>2</sup>?,10,20,25,30,C,2,Yes
37,RE,Number,,Which number is prime?,8,9,11,12,C,2,Yes
38,RE,Number,,Which number is even?,13,17,22,19,C,2,Yes
39,RE,Algebra,,What is 4x + 3x?,7x,12x,x<sup>2</sup>,7,A,0,Yes
40,RE,Algebra,,"If x = 5, what is 3x?",8,15,10,5,B,1,Yes
41,RE,Algebra,,What is x × x?,x,x<sup>2</sup>,2x,x<sup>3</sup>,B,1,Yes
42,RE,Number,,What is −4 + 7?,3,−3,11,−11,A,0,Yes
43,RE,Number,,What is −6 − 2?,−8,8,−4,4,A,0,Yes
44,RE,Geometry,,What is the area of a rectangle with length 6 and width 4?,10,24,20,12,B,1,Yes
45,RE,Geometry,,What is the area of a triangle with base 10 and height 6?,60,30,16,20,B,1,Yes
46,RE,Geometry,,A circle has radius 3. What is its area?,9π,6π,12π,3π,A,0,Yes
47,RE,Geometry,,A circle has diameter 10. What is its radius?,10,5,20,2,B,1,Yes
48,RE,Number,,"What is the value of the digit 4 in 4,582?",4,40,400,4000,D,3,Yes
49,RE,Number,,"What is the value of the digit 9 in 19,204?",9,90,900,9000,C,2,Yes
50,RE,Number,,Which number is the largest?,2.75,2.705,2.8,2.78,C,2,Yes
51,RE,Number,,Which number is the smallest?,0.9,0.09,0.19,0.009,D,3,Yes
52,RE,Number,,Which number is greater: 6.4 or 6.35?,6.4,6.35,They are equal,Cannot tell,A,0,Yes
53,RE,Number,,"Round 62,451 to the nearest 1,000","62,000","63,000","62,500","61,000",A,0,Yes
54,RE,Number,,"Round 95,501 to the nearest 1,000","95,000","96,000","95,500","94,000",B,1,Yes
55,RE,Number,,Estimate 398 + 602,900,1000,1100,800,B,1,Yes
56,RE,Number,,Estimate 29 × 21,400,500,600,700,C,2,Yes
57,RE,Number,,Write 7/10 as a decimal,0.7,7,0.07,70,A,0,Yes
58,RE,Number,,Write 1/4 as a decimal,0.25,0.4,0.2,0.5,A,0,Yes
59,RE,Number,,What is 75% of 40?,10,20,25,30,D,3,Yes
60,RE,Number,,What is 10% of 90?,9,10,19,90,A,0,Yes
61,RE,Number,,Which number is a multiple of 3?,14,15,17,19,B,1,Yes
62,RE,Number,,Which number is a factor of 24?,5,7,6,11,C,2,Yes
63,RE,Number,,What is √81?,7,8,9,10,C,2,Yes
